inspection_id,establishment_name,address,telephone,email,inspection_date,inspection_time_in,inspection_time_out,license_holder,license_number,license_period_start,license_period_end,establishment_type,risk_category,inspection_type,total_violations,priority_violations,priority_violations_corrected_on_site,priority_violations_repeated,priority_foundation_violations,priority_foundation_violations_corrected_on_site,priority_foundation_violations_repeated,core_violations,core_violations_corrected_on_site,core_violations_repeated,critical_violations,critical_violations_corrected_on_site,critical_violations_repeated,noncritical_violations,noncritical_violations_corrected_on_site,noncritical_violations_repeated,inspector_comments,inspector_name,inspector_badge_number,known_valid
681,KERRY'S CARRY OUT,"2409 BENNING RD NE Washington, DC 20002",202-397-8881,chensophia85@yahoo.com,2008-10-14,,,Ren Chen Mei Hong Zhuang,09305xxxx-66005085,2008-07-31,2010-07-31,Delicatessen,3,Follow-up,0,,,,,,,,,,0,0,0,0,0,0,,JA,,False
682,KERRY'S CARRY OUT,"2409 BENNING RD NE Washington, DC 20002",202-397-8881,chensophia85@yahoo.com,2008-10-28,,,Ren Chen Mei Hong Zhuang,09305xxxx-66005085,2008-07-31,2010-07-31,Delicatessen,3,Follow-up,0,,,,,,,,,,0,0,0,0,0,0,,JA,,False
683,DUNKIN DONUTS,"2420 NEW YORK AVE NE Washington, DC 20002",(202) 526-3677,rezaray@verizon.net,2008-10-16,,,E & P Inc,09313XXXX-39935801,2016-05-01,2018-04-30,Restaurant Total,2,Routine,0,,,,,,,,,,0,0,0,0,0,0,,BF,,False
684,DC CENTRAL COMMISSARY,"2625 EVARTS ST NE Washington, DC 20018",(202) 400-2816,Tsheriff@dccentralkitchen.org,2008-06-23,,,Organic To Go Inc,20091XXXX-68003990,2008-06-01,2010-05-31,Caterer,4,Other,0,,,,,,,,,,0,0,0,0,0,0,,AG,,False
685,DC CENTRAL COMMISSARY,"2625 EVARTS ST NE Washington, DC 20018",(202) 400-2816,Tsheriff@dccentralkitchen.org,2010-05-10,12:55 PM,04:50 PM,Organic To Go Inc,20091XXXX-68003990,2008-06-01,2010-05-31,Caterer,4,Routine,13,,,,,,,,,,5,2,0,8,2,0,Person in charge left before I completed my paperwork,Ivory Gene Cooper,650,False
686,STADIUM EXXON,"2651 BENNING RD NE WASHINGTON, DC 20019",(202) 396-6125,,2008-10-16,,,E & Z INC.,,2010-07-10,2012-07-10,Food Products,1,Follow-up,0,,,,,,,,,,0,0,0,0,0,0,,JA,,False
687,HONG KONG RESTAURANT,"2700 NEW YORK AVE NE WASHINGTON, DC 20002",,,2009-09-01,,,Shi & Ren LLC,80037xxxx-69005981,2009-01-01,2011-06-30,Restaurant Total,3,Complaint,0,,,,,,,,,,0,0,0,0,0,0,,NF,,False
688,HONG KONG RESTAURANT,"2700 NEW YORK AVE NE WASHINGTON, DC 20002",,,2009-09-02,,,Shi & Ren LLC,80037xxxx-69005981,2009-01-01,2011-06-30,Restaurant Total,3,Complaint,0,,,,,,,,,,0,0,0,0,0,0,,NF,,False
689,HONG KONG RESTAURANT,"2700 NEW YORK AVE NE WASHINGTON, DC 20002",,,2009-09-08,,,Shi & Ren LLC,80037xxxx-69005981,2009-01-01,2011-06-30,Restaurant Total,3,Follow-up,0,,,,,,,,,,0,0,0,0,0,0,,NF,,False
690,HONG KONG RESTAURANT,"2700 NEW YORK AVE NE WASHINGTON, DC 20002",,,2009-09-14,,,Shi & Ren LLC,80037xxxx-69005981,2009-01-01,2011-06-30,Restaurant Total,3,Follow-up,0,,,,,,,,,,0,0,0,0,0,0,,NF,,False
